Time (UTCG),Power (W),Solar Intensity
6 Aug 2023 20:15:04.320000000,1e-07,0
6 Aug 2023 20:25:04.320000000,37.2255536054506,1
6 Aug 2023 20:35:04.320000000,37.2204813924321,1
6 Aug 2023 20:45:04.320000000,37.1955488023758,1
6 Aug 2023 20:55:04.320000000,37.2313888271757,1
6 Aug 2023 21:05:04.320000000,37.2339401757383,1
6 Aug 2023 21:15:04.320000000,37.1873337435284,1
6 Aug 2023 21:25:04.320000000,1e-07,0
6 Aug 2023 21:35:04.320000000,1e-07,0
6 Aug 2023 21:45:04.320000000,1e-07,0
6 Aug 2023 21:55:04.320000000,37.2161147750089,1
6 Aug 2023 22:05:04.320000000,37.2142946459277,1
6 Aug 2023 22:15:04.320000000,37.2187015413108,1
6 Aug 2023 22:25:04.320000000,37.2094030311876,1
6 Aug 2023 22:35:04.320000000,37.157064168878,1
6 Aug 2023 22:45:04.320000000,29.8557125701011,1
6 Aug 2023 22:55:04.320000000,31.23884945049,1
6 Aug 2023 23:05:04.320000000,1e-07,0
6 Aug 2023 23:15:04.320000000,1e-07,0
6 Aug 2023 23:25:04.320000000,37.3233993928686,1
6 Aug 2023 23:35:04.320000000,37.2145724461364,1
6 Aug 2023 23:45:04.320000000,37.2385571322912,1
6 Aug 2023 23:55:04.320000000,37.2197668933287,1
7 Aug 2023 00:05:04.320000000,37.2292595199976,1
7 Aug 2023 00:15:04.320000000,30.0510296528484,1
7 Aug 2023 00:25:04.320000000,30.6756317487151,1
7 Aug 2023 00:35:04.320000000,1e-07,0
7 Aug 2023 00:45:04.320000000,1e-07,0
7 Aug 2023 00:55:04.320000000,1e-07,0
7 Aug 2023 01:05:04.320000000,37.244019420485,1
7 Aug 2023 01:15:04.320000000,37.2162216921987,1
7 Aug 2023 01:25:04.320000000,37.2203375016342,1
7 Aug 2023 01:35:04.320000000,37.2333203551828,1
7 Aug 2023 01:45:04.320000000,30.0680391464719,1
7 Aug 2023 01:55:04.320000000,29.8984505337445,1
7 Aug 2023 02:05:04.320000000,1e-07,0
7 Aug 2023 02:15:04.320000000,1e-07,0
7 Aug 2023 02:25:04.320000000,1e-07,0
7 Aug 2023 02:35:04.320000000,37.2280888209285,1
7 Aug 2023 02:45:04.320000000,37.2197826649337,1
7 Aug 2023 02:55:04.320000000,37.2435364086151,1
7 Aug 2023 03:05:04.320000000,37.2146239163982,1
7 Aug 2023 03:15:04.320000000,37.2366996974416,1
7 Aug 2023 03:25:04.320000000,29.682071302262,1
7 Aug 2023 03:35:04.320000000,1e-07,0
7 Aug 2023 03:45:04.320000000,1e-07,0
7 Aug 2023 03:55:04.320000000,1e-07,0
7 Aug 2023 04:05:04.320000000,37.1765178290901,1
7 Aug 2023 04:15:04.320000000,37.2071076228035,1
7 Aug 2023 04:25:04.320000000,37.2374975733598,1
7 Aug 2023 04:35:04.320000000,37.2282798245815,1
7 Aug 2023 04:45:04.320000000,37.2343727313068,1
7 Aug 2023 04:55:04.320000000,29.9941106576366,1
7 Aug 2023 05:05:04.320000000,31.4227209086018,1
7 Aug 2023 05:15:04.320000000,1e-07,0
7 Aug 2023 05:25:04.320000000,1e-07,0
7 Aug 2023 05:35:04.320000000,1e-07,0
7 Aug 2023 05:45:04.320000000,37.1684826707165,1
7 Aug 2023 05:55:04.320000000,37.2314052287318,1
7 Aug 2023 06:05:04.320000000,9.93051628474755,1
7 Aug 2023 06:15:04.320000000,37.2222665069229,1
7 Aug 2023 06:25:04.320000000,30.017619092227,1
7 Aug 2023 06:35:04.320000000,30.3796790263839,1
7 Aug 2023 06:45:04.320000000,1e-07,0
7 Aug 2023 06:55:04.320000000,1e-07,0
7 Aug 2023 07:05:04.320000000,1e-07,0
7 Aug 2023 07:15:04.320000000,37.2238713603331,1
7 Aug 2023 07:25:04.320000000,37.3614344789282,1
7 Aug 2023 07:35:04.320000000,9.87554722033082,1
7 Aug 2023 07:45:04.320000000,33.4751484708806,1
7 Aug 2023 07:55:04.320000000,37.3390292502457,1
7 Aug 2023 08:05:04.320000000,29.7515699553638,1
7 Aug 2023 08:15:04.320000000,1e-07,0
7 Aug 2023 08:25:04.320000000,1e-07,0
7 Aug 2023 08:35:04.320000000,1e-07,0
7 Aug 2023 08:45:04.320000000,37.2209166013673,1
7 Aug 2023 08:55:04.320000000,37.2417914542555,1
7 Aug 2023 09:05:04.320000000,34.2601036431389,1
7 Aug 2023 09:15:04.320000000,37.2400158469139,1
7 Aug 2023 09:25:04.320000000,37.2167786989912,1
7 Aug 2023 09:35:04.320000000,29.7426665686354,1
7 Aug 2023 09:45:04.320000000,30.221095688028,0.966598770859341
7 Aug 2023 09:55:04.320000000,1e-07,0
7 Aug 2023 10:05:04.320000000,1e-07,0
7 Aug 2023 10:15:04.320000000,37.2244691898098,1
7 Aug 2023 10:25:04.320000000,37.2193870147185,1
7 Aug 2023 10:35:04.320000000,37.2400958807679,1
7 Aug 2023 10:45:04.320000000,37.2309578287078,1
7 Aug 2023 10:55:04.320000000,37.2144379286139,1
7 Aug 2023 11:05:04.320000000,30.2298080518127,1
7 Aug 2023 11:15:04.320000000,31.016587852703,1
7 Aug 2023 11:25:04.320000000,1e-07,0
7 Aug 2023 11:35:04.320000000,1e-07,0
7 Aug 2023 11:45:04.320000000,1e-07,0
7 Aug 2023 11:55:04.320000000,37.2326352625427,1
7 Aug 2023 12:05:04.320000000,37.2080524930398,1
7 Aug 2023 12:15:04.320000000,37.2477694795212,1
7 Aug 2023 12:25:04.320000000,37.225010855547,1
7 Aug 2023 12:35:04.320000000,30.2630490318834,1
7 Aug 2023 12:45:04.320000000,30.0966679804094,1
7 Aug 2023 12:55:04.320000000,1e-07,0
7 Aug 2023 13:05:04.320000000,1e-07,0
7 Aug 2023 13:15:04.320000000,1e-07,0
7 Aug 2023 13:25:04.320000000,37.2329175789204,1
7 Aug 2023 13:35:04.320000000,37.2310859348251,1
7 Aug 2023 13:45:04.320000000,37.1964252520725,1
7 Aug 2023 13:55:04.320000000,37.2484916056838,1
7 Aug 2023 14:05:04.320000000,37.2380819737157,1
7 Aug 2023 14:15:04.320000000,29.6792550187021,1
7 Aug 2023 14:25:04.320000000,1e-07,0
7 Aug 2023 14:35:04.320000000,1e-07,0
7 Aug 2023 14:45:04.320000000,1e-07,0
7 Aug 2023 14:55:04.320000000,37.2299730512118,1
7 Aug 2023 15:05:04.320000000,37.2151817016472,1
7 Aug 2023 15:15:04.320000000,37.2195926426642,1
7 Aug 2023 15:25:04.320000000,37.2200274565402,1
7 Aug 2023 15:35:04.320000000,37.1676875450723,1
7 Aug 2023 15:45:04.320000000,29.9005565582786,1
7 Aug 2023 15:55:04.320000000,31.0343197899334,1
7 Aug 2023 16:05:04.320000000,1e-07,0
7 Aug 2023 16:15:04.320000000,1e-07,0
7 Aug 2023 16:25:04.320000000,37.2400251107426,1
7 Aug 2023 16:35:04.320000000,37.234924519504,1
7 Aug 2023 16:45:04.320000000,37.2135226901881,1
7 Aug 2023 16:55:04.320000000,37.2790410920348,1
7 Aug 2023 17:05:04.320000000,37.2236959991668,1
7 Aug 2023 17:15:04.320000000,30.3488306532336,1
7 Aug 2023 17:25:04.320000000,30.6687753486769,1
7 Aug 2023 17:35:04.320000000,1e-07,0
7 Aug 2023 17:45:04.320000000,1e-07,0
7 Aug 2023 17:55:04.320000000,1e-07,0
7 Aug 2023 18:05:04.320000000,22.8229386520566,1
7 Aug 2023 18:15:04.320000000,37.2171324818309,1
